Sample_ID	Cell_type_long	Cell_no.	yield_ng	pg_cell
R3694	PBMCs	2000000	3140.412	1.570206
R3695	PBMCs	2000000	4728	2.364
R3696	PBMCs	2000000	3681.588	1.840794
R3697	PBMCs	1000000	559.32	0.55932
R3698	PBMCs	1000000	530.076	0.530076
R3699	PBMCs	1000000	560.292	0.560292
R3688	PBMCs	2000000	284.268	0.142134
R3689	PBMCs	2000000	894.9	0.44745
R3690	PBMCs	2000000	744.096	0.372048
R3691	PBMCs	2000000	842.916	0.421458
R3692	PBMCs	2000000	961.884	0.480942
R3693	PBMCs	1000000	514.356	0.514356
R3702	PBMCs	5000000	2628.48	0.525696
