rmse,k,type,cohort,numberCellTypes,cellTypes
1.74808719607874e-16,k2,scale,cohort1,1,neuron
1.30677384578333e-16,k2,scale,cohort1,1,glial
1.54328654648412e-16,k2,scale,cohort1,2,neuron.glial
0,k3,scale,cohort1,2,neuron.1
0,k3,scale,cohort1,2,glial.1
0,k3,scale,cohort1,1,Excit
0,k3,scale,cohort1,1,Inhib
0,k3,scale,cohort1,2,Excit.glial
0,k3,scale,cohort1,2,Inhib.glial
0,k3,scale,cohort1,2,Excit.Inhib
0,k3,scale,cohort1,3,Excit.Inhib.glial
0.212,k2,noscale,cohort1,1,neuron1
0.212,k2,noscale,cohort1,1,glial1
0.212,k2,noscale,cohort1,2,neuron.glial1
0.206,k3,noscale,cohort1,2,neuron.11
0.206,k3,noscale,cohort1,2,glial.11
0.162,k3,noscale,cohort1,1,Excit1
0.06,k3,noscale,cohort1,1,Inhib1
0.185,k3,noscale,cohort1,2,Excit.glial1
0.151,k3,noscale,cohort1,2,Inhib.glial1
0.122,k3,noscale,cohort1,2,Excit.Inhib1
0.155,k3,noscale,cohort1,3,Excit.Inhib.glial1
7.85046229341888e-17,k2,scale,cohort2,1,neuron2
9.61481343191782e-17,k2,scale,cohort2,1,glial2
8.77708367144175e-17,k2,scale,cohort2,2,neuron.glial2
0,k3,scale,cohort2,2,neuron.12
0,k3,scale,cohort2,2,glial.12
0,k3,scale,cohort2,1,Excit2
0,k3,scale,cohort2,1,Inhib2
0,k3,scale,cohort2,2,Excit.glial2
0,k3,scale,cohort2,2,Inhib.glial2
0,k3,scale,cohort2,2,Excit.Inhib2
0,k3,scale,cohort2,3,Excit.Inhib.glial2
0.263,k2,noscale,cohort2,1,neuron11
0.263,k2,noscale,cohort2,1,glial11
0.263,k2,noscale,cohort2,2,neuron.glial11
0.263,k3,noscale,cohort2,2,neuron.111
0.263,k3,noscale,cohort2,2,glial.111
0.158,k3,noscale,cohort2,1,Excit11
0.105,k3,noscale,cohort2,1,Inhib11
0.217,k3,noscale,cohort2,2,Excit.glial11
0.201,k3,noscale,cohort2,2,Inhib.glial11
0.134,k3,noscale,cohort2,2,Excit.Inhib11
0.188,k3,noscale,cohort2,3,Excit.Inhib.glial11
1.15555676109332e-16,k2,scale,cohort3,1,NonPlasmablasts
0.99327715501096,k2,scale,cohort3,1,Plasmablasts
0.811007400980068,k2,scale,cohort3,1,NonPlasmablasts;Plasmablasts
0.054,k2,noscale,cohort3,1,NonPlasmablasts1
0.949,k2,noscale,cohort3,1,Plasmablasts1
0.775,k2,noscale,cohort3,1,NonPlasmablasts;Plasmablasts1
