Sample,Inhib,Excit,Star,Circle,total_nuc,ratio,added_date
Br6432_post,0.0805,0.115,OK,Low,0.196,1.43,10_2_2023
Br2743_ant,0.0513,0.172,High,OK,0.223,3.35,10_2_2023
Br8325_mid,0.118,0.13,OK,OK,0.248,1.1,10_2_2023
Br6522_mid,0.0187,0.258,OK,OK,0.277,13.8,10_2_2023
Br6471_ant,0.136,0.168,Low,Low,0.304,1.24,10_2_2023
Br6423_ant,0.0733,0.234,OK,OK,0.307,3.19,10_2_2023
Br2720_post,0.0855,0.231,High,High,0.317,2.71,10_2_2023
Br8667_ant,0.0701,0.256,Low,Low,0.326,3.65,10_2_2023
Br6471_mid,0.121,0.207,OK,High,0.328,1.72,10_2_2023
Br8492_post,0.103,0.252,High,High,0.354,2.45,10_2_2023
Br8325_ant,0.141,0.221,OK,Low,0.362,1.57,10_2_2023
Br6423_post,0.101,0.317,High,High,0.418,3.14,10_2_2023
Br6522_post,0.0977,0.325,OK,Low,0.423,3.32,10_2_2023
Br3942_mid,0.11,0.313,OK,High,0.423,2.85,10_2_2023
Br8667_mid,0.112,0.314,OK,High,0.426,2.8,10_2_2023
Br2720_mid,0.16,NA,Excluded,Low,NA,NA,10_2_2023
Br3942_ant,0.144,NA,Excluded,High,NA,NA,10_2_2023
Br3942_post,0.113,NA,Excluded,High,NA,NA,10_2_2023
Br8492_mid,0.115,NA,Excluded,High,NA,NA,10_2_2023
