Sample Name,Progenitors,B Naive,B NSM,B SM,B Ex,Plasmablasts,T CD4 Naive,Tregs,Tfh,Th1,Th1/Th17,Th17,Th2,T CD4 TE,T CD8 Naive,T CD8 CM,T CD8 EM,T CD8 TE,T gd Vd2,T gd non-Vd2,MAIT,NK,pDCs,mDCs,Monocytes C,Monocytes I,Monocytes NC,Neutrophils LD,Basophils LD,B Naive+NSM,B Ex+SM,T CD4 Naive+Tregs,Tfh+Th1-17,Th,T CD8 EM+TE,T gd,Monocytes NC+I,Granulocytes LD,B Memory,Tfh+Th,T CD8 Memory,DCs,Monocytes C+I,B Naive+Memory,T CD4 Memory,Monocytes,B cells,T CD4,T CD8,T Innate,Myeloid Phagocytes,T Naive,T Memory,Phagocytes,APC,T cells,Lymphoid,Myeloid,Adaptive,Innate
453W,0.091,2.75,1.56,0.72,0.093,0.066,9.165,1.741,2.835,1.845,2.615,2.065,0.959,4.106,5.328,0.342,2.242,20.346,0.984,0.727,2.047,6.78,0.57,0.38,19.4,1.41,0.85,1.22,0.95,4.31,0.813,10.906,9.361,0.959,22.589,1.711,2.26,2.17,2.373,10.32,22.931,0.95,20.81,5.123,16.167,21.66,5.2,25.332,28.259,3.758,22.04,14.493,39.098,23.83,27.799,57.348,69.887,24.21,58.78,35.318
684C,0.043,6.74,1.16,1.06,0.27,0.74,10.051,2.222,5.073,3.37,3.915,1.957,1.608,1.518,8.411,0.101,1,5.978,0.111,0.979,3.449,8.45,0.61,0.66,19.6,0.87,1.72,1.87,1.85,7.9,1.33,12.273,14.315,1.608,6.978,1.09,2.59,3.72,2.49,15.923,7.078,1.27,20.47,9.23,19.663,22.19,10,29.714,15.489,4.539,22.85,18.462,26.741,25.33,33.43,49.742,68.772,26.57,55.173,40.169
CR3L,0.065,8.38,1.02,1.11,0.1,0.54,10.871,2.093,2.57,1.768,2.357,1.57,0.747,4.867,11.532,0.112,0.554,2.931,2.88,0.635,5.075,10.8,0.55,0.76,14,0.83,1.13,5.98,2.04,9.4,1.21,12.964,8.265,0.747,3.485,3.515,1.96,8.02,2.23,9.012,3.597,1.31,14.83,10.61,15.972,15.96,11.2,26.843,15.128,8.59,16.72,22.403,19.568,23.25,28.42,50.561,73.061,24.74,53.121,44.68
FLWA,0.22,5.45,1.01,1.58,0.18,0.15,6.084,2.019,3.971,2.598,3.4,3.988,1.085,0.489,3.815,0.095,1.163,3.272,3.42,0.218,3.692,19.5,0.42,0.64,19.6,0.47,0.79,3.62,2.62,6.46,1.76,8.103,13.957,1.085,4.436,3.638,1.26,6.24,2.77,15.042,4.53,1.06,20.07,8.22,17.55,20.86,8.39,23.634,8.345,7.33,21.5,9.899,22.08,25.54,30.29,39.309,67.599,27.74,40.349,54.99
FY2H,0.1,6.02,0.39,0.43,0.087,0.11,8.098,1.773,3.136,1.491,1.163,1.85,0.82,0.851,5.279,0.113,1.645,10.25,0.636,10.916,2.188,2.6,0.37,0.99,26.8,4.55,1.32,2.2,1.2,6.41,0.517,9.871,7.641,0.82,11.895,11.552,5.87,3.4,0.907,8.461,12.008,1.36,31.35,6.927,11.085,32.67,7.05,19.183,17.287,13.74,33.66,13.376,23.093,36.23,41.067,50.21,60.217,37.06,43.506,53.77
CYFZ,0.068,5.69,1.08,1.22,0.2,0.18,5.531,1.545,2.423,1.404,1.715,1.449,0.572,2.723,3.346,0.181,1.194,23.097,0.894,1.715,1.11,14,0.28,0.38,11.1,2.89,2.8,1.2,1.36,6.77,1.42,7.076,6.991,0.572,24.291,2.61,5.69,2.56,2.5,7.563,24.473,0.66,13.99,8.19,11.831,16.79,8.39,17.362,27.818,3.719,17.17,8.876,36.304,18.65,25.82,48.9,71.55,19.73,53.55,37.729
925L,0.046,12.734,1.151,1.56,0.127,0.111,3.276,1.556,4.366,2.322,1.673,2.035,1.518,2.679,5.874,0.912,1.692,10.245,2.373,0.963,1.053,9.69,0.099,0.56,17,1.19,1.47,2.39,3.74,13.885,1.687,4.831,10.395,1.518,11.937,3.337,2.66,6.13,2.839,11.913,12.848,0.659,18.19,15.573,16.147,19.66,15.705,19.423,18.723,4.389,20.22,9.15,28.996,22.709,36.003,42.535,68.008,26.35,53.83,40.528
9JD4,0.065,4.7,1.12,1.77,0.44,0.27,11.561,2.425,4.762,3.449,3.349,1.756,0.981,1.75,10.873,0.537,1,11.186,1.8,2.206,3.362,7.53,0.48,0.48,14.6,1.13,1.25,0.6,1.97,5.82,2.21,13.985,13.317,0.981,12.186,4.006,2.38,2.57,3.33,14.298,12.723,0.96,15.73,8.03,18.472,16.98,8.31,30.033,23.596,7.368,17.46,22.434,31.195,18.54,26.24,60.996,77.306,20.03,61.929,35.408
G4YW,0.11,3.64,1.31,1.81,0.28,0.46,9.348,2.442,4.086,1.757,2.589,2.447,1.272,0.485,8.613,0.597,0.925,3.313,2.437,2.183,4.317,17.5,0.27,0.55,18.6,1.75,1.67,1.48,0.47,4.95,2.09,11.79,10.879,1.272,4.238,4.62,3.42,1.95,3.4,12.152,4.835,0.82,20.35,7.04,15.078,22.02,7.56,24.426,13.449,8.936,22.57,17.961,19.914,24.32,30.34,46.811,72.081,24.52,45.375,51.226
4DUY,0.11,5.19,1.2,0.88,0.098,0.61,11.972,2.001,2.436,2.415,1.596,1.88,1.166,0.756,6.931,0.336,0.488,4.637,5.986,0.373,2.463,7.92,0.14,0.56,17.3,0.59,4.36,5.4,2.09,6.39,0.978,13.973,8.328,1.166,5.125,6.359,4.95,7.49,2.178,9.494,5.461,0.7,17.89,7.368,12.251,22.25,7.99,24.223,12.392,8.822,22.81,18.904,17.712,28.35,30.928,45.437,61.475,30.3,44.593,47.182
