"condition","rmse_result","dataset","k_total","k_rmse","cell_types","experiment"
"noscale","2.22e-01","Huuki-Myers et al 2023","2","2","neuron;glial","pseudobulk"
"withscale","1.34e-16","Huuki-Myers et al 2023","2","2","neuron;glial","pseudobulk"
"all","1.57e-01","Huuki-Myers et al 2023","2","2","neuron;glial","pseudobulk"
"noscale","2.63e-01","Tran et al 2021","2","2","neuron;glial","pseudobulk"
"withscale","8.78e-17","Tran et al 2021","2","2","neuron;glial","pseudobulk"
"all","1.86e-01","Tran et al 2021","2","2","neuron;glial","pseudobulk"
"noscale","4.59e-02","Huuki-Myers et al 2023","2","2","neuron;glial","shuffle"
"withscale","2.64e-02","Huuki-Myers et al 2023","2","2","neuron;glial","shuffle"
"all","3.74e-02","Huuki-Myers et al 2023","2","2","neuron;glial","shuffle"
"noscale","2.22e-01","Huuki-Myers et al 2023","2","1","neuron","pseudobulk"
"withscale","1.29e-16","Huuki-Myers et al 2023","2","1","neuron","pseudobulk"
"all","1.57e-01","Huuki-Myers et al 2023","2","1","neuron","pseudobulk"
"noscale","2.63e-01","Tran et al 2021","2","1","neuron","pseudobulk"
"withscale","7.85e-17","Tran et al 2021","2","1","neuron","pseudobulk"
"all","1.86e-01","Tran et al 2021","2","1","neuron","pseudobulk"
"noscale","4.59e-02","Huuki-Myers et al 2023","2","1","neuron","shuffle"
"withscale","2.64e-02","Huuki-Myers et al 2023","2","1","neuron","shuffle"
"all","3.74e-02","Huuki-Myers et al 2023","2","1","neuron","shuffle"
"noscale","2.22e-01","Huuki-Myers et al 2023","2","1","glial","pseudobulk"
"withscale","1.40e-16","Huuki-Myers et al 2023","2","1","glial","pseudobulk"
"all","1.57e-01","Huuki-Myers et al 2023","2","1","glial","pseudobulk"
"noscale","2.63e-01","Tran et al 2021","2","1","glial","pseudobulk"
"withscale","9.61e-17","Tran et al 2021","2","1","glial","pseudobulk"
"all","1.86e-01","Tran et al 2021","2","1","glial","pseudobulk"
"noscale","4.59e-02","Huuki-Myers et al 2023","2","1","glial","shuffle"
"withscale","2.64e-02","Huuki-Myers et al 2023","2","1","glial","shuffle"
"all","3.74e-02","Huuki-Myers et al 2023","2","1","glial","shuffle"
"noscale","1.66e-01","Huuki-Myers et al 2023","3","3","Excit;Inhib;glial","pseudobulk"
"withscale","9.38e-17","Huuki-Myers et al 2023","3","3","Excit;Inhib;glial","pseudobulk"
"all","1.18e-01","Huuki-Myers et al 2023","3","3","Excit;Inhib;glial","pseudobulk"
"noscale","1.88e-01","Tran et al 2021","3","3","Excit;Inhib;glial","pseudobulk"
"withscale","1.67e-16","Tran et al 2021","3","3","Excit;Inhib;glial","pseudobulk"
"all","1.33e-01","Tran et al 2021","3","3","Excit;Inhib;glial","pseudobulk"
"noscale","2.18e-01","Huuki-Myers et al 2023","3","1","Excit","pseudobulk"
"withscale","1.05e-16","Huuki-Myers et al 2023","3","1","Excit","pseudobulk"
"all","1.54e-01","Huuki-Myers et al 2023","3","1","Excit","pseudobulk"
"noscale","2.63e-01","Tran et al 2021","3","1","Excit","pseudobulk"
"withscale","1.43e-16","Tran et al 2021","3","1","Excit","pseudobulk"
"all","1.86e-01","Tran et al 2021","3","1","Excit","pseudobulk"
"noscale","7.08e-02","Huuki-Myers et al 2023","3","1","Inhib","pseudobulk"
"withscale","7.66e-17","Huuki-Myers et al 2023","3","1","Inhib","pseudobulk"
"all","5.01e-02","Huuki-Myers et al 2023","3","1","Inhib","pseudobulk"
"noscale","1.05e-01","Tran et al 2021","3","1","Inhib","pseudobulk"
"withscale","1.49e-16","Tran et al 2021","3","1","Inhib","pseudobulk"
"all","7.44e-02","Tran et al 2021","3","1","Inhib","pseudobulk"
"noscale","1.74e-01","Huuki-Myers et al 2023","3","1","glial","pseudobulk"
"withscale","9.75e-17","Huuki-Myers et al 2023","3","1","glial","pseudobulk"
"all","1.23e-01","Huuki-Myers et al 2023","3","1","glial","pseudobulk"
"noscale","1.58e-01","Tran et al 2021","3","1","glial","pseudobulk"
"withscale","2.03e-16","Tran et al 2021","3","1","glial","pseudobulk"
"all","1.12e-01","Tran et al 2021","3","1","glial","pseudobulk"
"withscale","1.71e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"noscale","1.88e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"nnls","1.80e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"nnls;withscale","1.71e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"nnls;noscale","1.88e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"withscale","1.68e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"noscale","1.93e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"music","1.81e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"music;withscale","1.68e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"music;noscale","1.93e-01","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"withscale","9.05e-02","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"noscale","9.05e-02","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"bisque","9.05e-02","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"bisque;withscale","9.05e-02","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"bisque;noscale","9.05e-02","Huuki-Myers et al 2023","2","2","neuron;glial","bulk"
"withscale","9.93e-01","Monaco et al 2019","2","2","plasmablasts;nonplasmablasts","pseudobulk"
"noscale","9.49e-01","Monaco et al 2019","2","2","plasmablasts;nonplasmablasts","pseudobulk"
"all","9.71e-01","Monaco et al 2019","2","2","plasmablasts;nonplasmablasts","pseudobulk"
"withscale","1.06e-16","Monaco et al 2019","2","1","nonplasmablasts","pseudobulk"
"noscale","5.37e-02","Monaco et al 2019","2","1","nonplasmablasts","pseudobulk"
"all","3.80e-02","Monaco et al 2019","2","1","nonplasmablasts","pseudobulk"
"withscale","6.63e-17","Monaco et al 2019","2","1","plasmablasts","pseudobulk"
"noscale","5.37e-02","Monaco et al 2019","2","1","plasmablasts","pseudobulk"
"all","3.80e-02","Monaco et al 2019","2","1","plasmablasts","pseudobulk"
